run,n,side,neuron,energy,live,dom_irrep,dom_dim,dom_block,e_dom,block_dominant,alpha_plain,plain_label,alpha_twist,twist_label,aligned_plain,aligned_twist,test_acc
randinit_aff16_seed9,16,y,9,0.22968944716501777,True,22,8,16,(0.45583069271560844+0j),False,0.1719865602030671,M3r,0.17629461564158586,k4l,False,False,
randinit_aff16_seed9,16,y,10,0.27225683318604504,True,22,8,16,(0.5611861435235079+0j),False,0.18278761003302316,M2r,0.18293261003717082,k5l,False,False,
randinit_aff16_seed9,16,y,11,0.19732292250440048,True,22,8,16,(0.5594583557835658+0j),False,0.21778103748928315,M7l,0.19466215601856965,k1l,False,False,
randinit_aff16_seed9,16,y,12,0.23940124548835137,True,22,8,16,(0.5737774648941147+0j),False,0.15520008382221534,M3r,0.17323002342546023,k3l,False,False,
randinit_aff16_seed9,16,y,13,0.22107949899953858,True,22,8,16,(0.5385816072208527+0j),False,0.21231377006190574,M4r,0.2014698081471186,k5r,False,False,
randinit_aff16_seed9,16,y,14,0.24084553117828217,True,22,8,16,(0.45440004848185034+0j),False,0.15442318164104252,M5r,0.23002213513603773,k4l,False,False,
randinit_aff16_seed9,16,y,15,0.20682580071961412,True,22,8,16,(0.5762760027948873+0j),False,0.20727983705215855,M1l,0.17746538201113637,k7l,False,False,
randinit_aff16_seed9,16,y,16,0.23815463885120625,True,22,8,16,(0.5827270255904039+0j),False,0.19985924247825337,M7l,0.19142993056879853,k3l,False,False,
randinit_aff16_seed9,16,y,17,0.3446882723056222,True,22,8,16,(0.4541868641101515+0j),False,0.2539933678789747,M6l,0.20292399380370899,k6l,False,False,
randinit_aff16_seed9,16,y,18,0.27227990662909485,True,22,8,16,(0.5152717635014714+0j),False,0.2194757700230487,M5l,0.18576335292981672,k1r,False,False,
randinit_aff16_seed9,16,y,19,0.23651350854914108,True,22,8,16,(0.382756973088867+0j),False,0.184851410212685,M6l,0.21115922272256002,k4l,False,False,
randinit_aff16_seed9,16,y,20,0.25270969489767336,True,22,8,16,(0.35854917670884817+0j),False,0.19722755322552032,M6r,0.22939638843323557,k2l,False,False,
randinit_aff16_seed9,16,y,21,0.2711697942435518,True,22,8,16,(0.5275189296309221+0j),False,0.17640294673047607,M2r,0.22642719818432647,k7l,False,False,
randinit_aff16_seed9,16,y,22,0.23102536480578342,True,22,8,16,(0.48795424710685853+0j),False,0.20877234145293183,M4l,0.22154592621315305,k3l,False,False,
randinit_aff16_seed9,16,y,23,0.28806151442934574,True,22,8,16,(0.4791611279235171+0j),False,0.21142969312312418,M0r,0.19911380341722476,k6r,False,False,
randinit_aff16_seed9,16,y,24,0.2585861433645934,True,22,8,16,(0.45578262622028215+0j),False,0.1304549429957537,M6l,0.273825115726989,k6l,False,False,
randinit_aff16_seed9,16,y,25,0.21531310850872204,True,22,8,16,(0.43102200429981175+0j),False,0.16827907137413145,M3l,0.17946320062427643,k6r,False,False,
randinit_aff16_seed9,16,y,26,0.23403623468870244,True,22,8,16,(0.5328361600253195+0j),False,0.19180913043501663,M2r,0.18675650559172766,k1l,False,False,
randinit_aff16_seed9,16,y,27,0.3092991606635042,True,22,8,16,(0.5916706500788018+0j),False,0.18059189890465335,M6l,0.20034506250329806,k7l,False,False,
randinit_aff16_seed9,16,y,28,0.30113176820602733,True,22,8,16,(0.450614747021924+0j),False,0.14275093542099043,M6l,0.1886449009876047,k7r,False,False,
randinit_aff16_seed9,16,y,29,0.1957831089285489,True,22,8,16,(0.4801665620711315+0j),False,0.14762446506007523,M3r,0.22046460630099543,k2l,False,False,
randinit_aff16_seed9,16,y,30,0.3518407176613437,True,22,8,16,(0.5157572540460224+0j),False,0.1756063768383178,M2l,0.1957327476039684,k1l,False,False,
randinit_aff16_seed9,16,y,31,0.26135526504951617,True,22,8,16,(0.4548854036308429+0j),False,0.18166054609369972,M0r,0.18576867806758182,k2l,False,False,
randinit_aff16_seed9,16,y,32,0.2440745134833713,True,22,8,16,(0.4643469377045624+0j),False,0.13109584838881774,M2r,0.20875055584671295,k4r,False,False,
randinit_aff16_seed9,16,y,33,0.33356095446780953,True,22,8,16,(0.5181676443753072+0j),False,0.19185714364077566,M4l,0.1825175137489157,k1r,False,False,
randinit_aff16_seed9,16,y,34,0.23239555135267737,True,22,8,16,(0.4571313172467151+0j),False,0.1341524935664187,M4r,0.21141277306248876,k6l,False,False,
randinit_aff16_seed9,16,y,35,0.1823795073653865,True,22,8,16,(0.44530782181598405+0j),False,0.1680724544601204,M3r,0.17015527369320493,k2r,False,False,
randinit_aff16_seed9,16,y,36,0.2859123744005987,True,22,8,16,(0.5139357534125234+0j),False,0.25238331346391896,M6r,0.2528432198991502,k5r,False,False,
randinit_aff16_seed9,16,y,37,0.26622602070403395,True,22,8,16,(0.6132277472899291+0j),False,0.21934589506466953,M2r,0.20478392704515044,k5r,False,False,
