run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff21_wu_m128_seed2,21.0,21,12.0,0.0,0.0,,,,,,,,empty,,d0:0.22 d3:0.26 d7:0.52,0.9188972907212317,0.5409360916201327,0.0,0.0,0.0,0.15873948383207928,0.18055099140530553,0.25243765621866765,neither
aff21_wu_m128_seed2,21.0,7,6.0,149.0,0.5178227117003811,0.9999999158678825,0.0,0.0,0.9999911638969393,0.4626501539149732,l:0.50 r:0.50,l:0.50 r:0.50,plain,6:1.00,,,77887.33313264769,1.0,0.0,0.0,0.9999967416332114,0.7896167310445652,0.46269204851539997,plain
aff21_wu_m128_seed2,,7β,,,,,,,,,,,,,,,0.14322325906243355,0.0,0.0,0.0,2.2420249512566087e-24,0.3706897920225728,0.4738611785860867,neither
aff21_wu_m128_seed3,21.0,21,12.0,0.0,0.0,,,,,,,,empty,,d0:0.17 d3:0.22 d7:0.61,0.8908877683282778,0.540173395848554,0.0,0.0,0.0,0.17357210462291667,0.19084939925972458,0.2458243488655815,neither
aff21_wu_m128_seed3,21.0,7,6.0,120.0,0.6104787507866842,0.9987726239639055,0.9999997303819422,0.9987726239639055,0.9999912432804668,0.9060189670578573,l:0.50 r:0.50,l:0.50 r:0.50,both,2:0.50 6:0.50,,,90824.12423345455,0.9987741187819539,0.000286519466456452,1.0,0.9993196016985983,0.42497541923970583,0.9060906295241588,both
aff21_wu_m128_seed3,,7β,,,,,,,,,,,,,,,0.17021384416377977,0.0,0.0,0.0,1.648733718946722e-24,0.3880048652347067,0.5344849437344195,neither
aff21_wu_m128_seed4,21.0,21,12.0,0.0,0.0,,,,,,,,empty,,d0:0.74 d3:0.26,0.8231202952106343,0.6451437276327863,0.0,0.0,0.0,0.1643144436409208,0.1810593301178513,0.24637842809311383,neither
aff21_wu_m128_seed4,21.0,7,6.0,0.0,0.0,,,,,,,,empty,,,,0.1772647097539269,0.0,0.0,0.0,0.34411984640724813,0.3358386780364998,0.46749085437559845,neither
aff21_wu_m128_seed4,,7β,,,,,,,,,,,,,,,67090.0567338473,0.0,1.0,0.013037444238688248,8.097153235368738e-33,0.9864139832801601,0.583428582710451,plain
aff21_wu_m128_seed5,21.0,21,12.0,0.0,0.0,,,,,,,,empty,,d0:0.84 d3:0.11 d7:0.04,0.783836124232919,5.079982234589611,0.0,0.0,0.0,0.1647313171112399,0.17129943639981357,0.25153038634336755,neither
aff21_wu_m128_seed5,21.0,7,6.0,26.0,0.04344375348278081,1.0,0.0,0.0,0.9999830989631187,0.4369252914117444,l:0.50 r:0.50,l:0.50 r:0.50,plain,6:1.00,,,6393.145531597169,0.999844766463122,0.0,0.0,0.9998973305282614,0.4851857942437262,0.43700070443520117,plain
aff21_wu_m128_seed5,,7β,,,,,,,,,,,,,,,78820.60129332491,0.0,0.17233496684712934,0.8125612809512651,1.7649852086900033e-32,0.6551655664371597,0.8587467090064551,twist
