run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,x,93,121.40867998406475,0.999998870464075,0.9999950673727627,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,94,211.80917869046155,0.9999993715135208,0.9999964049387129,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,95,224.53710919465817,0.9999978735460321,0.9999938739988983,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,96,236.80279150271068,0.9999995332977849,0.9999951452337336,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,97,92.34341706883146,0.9999935174261074,0.9999870826930093,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,98,219.62524677742013,0.9999976622190041,0.9999966517972447,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,99,216.0389603712935,0.9999970172787265,0.9999953327295585,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,100,236.02704714401995,0.9999998303807763,0.9999937268232075,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,101,221.25321631290853,0.9999981171241374,0.9999948203288594,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,102,245.85974735351414,0.9999993733390383,0.9999937081928127,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,103,229.29958200274956,0.9999912010285842,0.9999948870950136,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,104,248.36336985705847,0.9999978855842561,0.9999949140017464,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,105,234.29756397998653,0.9999992226700959,0.9999950609840589,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,106,224.03849647900685,0.999998993178542,0.9999964529303346,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,107,201.6369276162843,0.9999962480200479,0.999993862897905,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,108,240.44760548554424,0.999998910084759,0.9999948432968894,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,109,246.94643676125972,0.9999975106060901,0.9999950621650296,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,110,189.33711466210897,0.9999992441819031,0.9999964565774935,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,111,292.25254028092917,0.9999993834452843,0.9999950121631535,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,112,150.43756853933044,0.9999928929632221,0.99999514849706,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,113,146.1957803633984,0.9999967763644464,0.9999950277461603,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,114,116.99883396673688,0.9999986669602754,0.9999953492320386,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,115,216.37706505073132,0.999999214594728,0.9999951285250904,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,116,234.5202889558456,0.9999990951621986,0.9999936806943422,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,117,166.2993603157733,0.9999989040006293,0.9999939293149228,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,119,96.72266884274627,0.9999914172156104,0.999995238479598,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,120,250.9139120759211,0.9999992699375656,0.9999950545637518,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,121,147.40887864417567,0.9999943844132331,0.9999950410396954,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,122,205.24166572822134,0.9999970068725869,0.9999950023215656,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,123,249.6520788359996,0.9999978391638249,0.999993851626165,1,1,1,M,10
