run,n,side,neuron,energy,dom_dim,dom_k,e_dom,single,alpha_refl,r1
D59_MLP_seed1,59,x,126,662.2854039332442,2,15,0.9867637815412006,True,0.9980931241926579,0.9999956349342766
D59_MLP_seed1,59,x,127,770.9386749612667,2,15,0.9917200695051499,True,0.9963220710479439,0.9999998497325165
D59_MLP_seed1,59,y,0,404.59022489608515,2,8,0.9916345020252733,True,0.9984646741625355,0.9999894118320193
D59_MLP_seed1,59,y,1,786.0885454035925,2,6,0.9932741434908957,True,0.9988312352184924,0.9999616359405021
D59_MLP_seed1,59,y,2,327.886141983309,2,14,0.9692126461498436,True,0.9963223037885086,0.9999989248757134
D59_MLP_seed1,59,y,3,193.9062944097127,2,14,0.9746275271596359,True,0.9980965684280747,0.9999991926129634
D59_MLP_seed1,59,y,4,594.279696244794,2,14,0.9723215492757327,True,0.9983734807630869,0.9999995873292228
D59_MLP_seed1,59,y,5,745.345493393357,2,19,0.9960872552413756,True,0.9989863384727138,0.9999989873529701
D59_MLP_seed1,59,y,6,532.8059335128054,2,8,0.9941117923607568,True,0.9987162928731295,0.9999956891767584
D59_MLP_seed1,59,y,7,434.35031190165734,2,20,0.9867918933214666,True,0.9988269131357755,0.999997611248957
D59_MLP_seed1,59,y,8,353.7767408374077,2,3,0.9900553032054976,True,0.9967687478138507,0.9999975112486621
D59_MLP_seed1,59,y,9,709.4595396073026,2,19,0.9934580749560892,True,0.9984020618082589,0.9999921499660235
D59_MLP_seed1,59,y,10,682.9715677063365,2,19,0.9936161300708626,True,0.9979382052147504,0.9999992407885492
D59_MLP_seed1,59,y,11,508.5127620272788,2,6,0.9937618656259717,True,0.9990599149546087,0.9999912028885457
D59_MLP_seed1,59,y,12,421.46793548936785,2,19,0.992547853882986,True,0.9987997232793664,0.9999905772461868
D59_MLP_seed1,59,y,13,418.9967596435372,2,20,0.9859449463677491,True,0.9991179980261025,0.9999682184576478
D59_MLP_seed1,59,y,14,632.8841841150927,2,3,0.9915464167341036,True,0.998678776553714,0.9999980029205642
D59_MLP_seed1,59,y,15,396.6727748432731,2,8,0.9920389983835823,True,0.9989549818584074,0.9999931004106679
D59_MLP_seed1,59,y,16,733.7279204958261,2,3,0.9916473479310829,True,0.9986511796532453,0.9999964483562465
D59_MLP_seed1,59,y,17,653.6711863883104,2,8,0.9924250406744416,True,0.9992072933880323,0.9999997474666195
D59_MLP_seed1,59,y,18,379.7070802139527,2,14,0.9750288164594344,True,0.998049376397183,0.999998756203961
D59_MLP_seed1,59,y,19,560.1278226296255,2,8,0.9922964996758794,True,0.9986858006424524,0.9999998672115451
D59_MLP_seed1,59,y,20,423.28636841286306,2,19,0.9941730694858693,True,0.9978277035752802,0.999999693425015
D59_MLP_seed1,59,y,21,445.0744926137403,2,6,0.9932177291007714,True,0.9988487981770295,0.9999647633735036
D59_MLP_seed1,59,y,22,369.3923508953416,2,19,0.9913694724500987,True,0.9967448731556078,0.9999985179736044
D59_MLP_seed1,59,y,23,646.1156440321602,2,3,0.9911757058292703,True,0.9987295748342536,0.9999972472799323
D59_MLP_seed1,59,y,24,477.10065483737947,2,8,0.9893396561965865,True,0.9986170992089914,0.9999997471685264
D59_MLP_seed1,59,y,25,420.80484518812494,2,20,0.9860290502144082,True,0.9992025725913732,0.999967930409886
