run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,x,99,F20,763.6195239981341,0.9999999060758188,1.0000000000000002,5a,,,,1.0000000000000002,
S5_MLP_seed1,x,100,A4,255.89660879153004,0.9991722075294698,0.9471124728702507,std',0.005151270003632335,0.04773625712611692,0.9471124728702507,,
S5_MLP_seed1,x,101,S4,1393.500791517805,0.9999983145092536,1.0,std,1.0,,,,
S5_MLP_seed1,x,102,A4,453.24339706909007,0.999830571865748,0.9944260337573463,std',1.3034430148199436e-05,0.005560931812505681,0.9944260337573463,,
S5_MLP_seed1,x,103,S4,1192.399151479746,0.99999854470788,1.0,std,1.0,,,,
S5_MLP_seed1,x,104,D10,289.844537993849,0.9518127807297738,0.9992984501928003,5a,,0.0007007110039425495,,0.9992984501928003,8.388032571330584e-07
S5_MLP_seed1,x,105,A4,305.82499714093024,0.9938848116142314,0.9585851358517874,std',0.0007881500724904872,0.04062671407572173,0.9585851358517874,,
S5_MLP_seed1,x,106,S4,1266.9882864536114,0.9999996430939646,1.0,std,1.0,,,,
S5_MLP_seed1,x,107,A4,547.638428618155,0.999501218304263,0.9821094744681688,std',0.003726299695920394,0.014164225835910914,0.9821094744681688,,
S5_MLP_seed1,x,108,S4,1408.3599167022703,0.9999996913080798,1.0,std,1.0,,,,
S5_MLP_seed1,x,109,S4,1174.7871219142817,0.9999953162476,1.0,std,1.0,,,,
S5_MLP_seed1,x,110,F20,656.7955167782229,0.9999997625144575,1.0,5a,,,,1.0,
S5_MLP_seed1,x,111,A4,347.4595657065674,0.9997812462326277,0.9544159590014084,std',0.00023320051449323426,0.0453508404840987,0.9544159590014084,,
S5_MLP_seed1,x,112,F20,835.771629229915,0.999999751436923,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,x,114,F20,897.9413626471982,0.9999999434682466,1.0000000000000002,5a,,,,1.0000000000000002,
S5_MLP_seed1,x,115,A4,355.91263998670405,0.9997546302851696,0.9876121997244726,std',4.099971571877884e-05,0.012346800559808586,0.9876121997244726,,
S5_MLP_seed1,x,116,A4,374.76413693447273,0.9997409465985496,0.9861895144816585,std',7.721898916941741e-05,0.01373326652917188,0.9861895144816585,,
S5_MLP_seed1,x,117,A4,518.2777258770947,0.999837023681446,0.9985849004624938,std',3.3270077356318133e-05,0.001381829460149887,0.9985849004624938,,
S5_MLP_seed1,x,118,F20,750.0069836573912,0.9999997352818788,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,x,119,A4,596.6171538387042,0.999753833636564,0.9983953184509876,std',4.648747492875884e-05,0.0015581940740833798,0.9983953184509876,,
S5_MLP_seed1,x,120,A4,714.8823692645302,0.9997137333661412,0.9931182749734955,std',0.00010608225653997664,0.0067756427699645376,0.9931182749734955,,
S5_MLP_seed1,x,121,F20,646.5774794373749,0.9999999302276732,0.9999999999999998,5a,,,,0.9999999999999998,
S5_MLP_seed1,x,122,F20,798.7823724319834,0.9999999717981504,1.0,5a,,,,1.0,
S5_MLP_seed1,x,123,S4,1299.7250776217063,0.9999984386352396,1.0,std,1.0,,,,
S5_MLP_seed1,x,124,S4,1399.0742447651849,0.9999915776358436,0.9999999999999997,std,0.9999999999999997,,,,
S5_MLP_seed1,x,125,S4,1282.8538398746398,0.9999953579007642,1.0,std,1.0,,,,
S5_MLP_seed1,x,126,S4,1301.5787078525382,0.999990744959952,1.0000000000000002,std,1.0000000000000002,,,,
S5_MLP_seed1,x,127,F20,884.1978185761925,0.9999997862628084,0.9999999999999998,5a,,,,0.9999999999999998,
S5_MLP_seed1,y,0,S4,1286.5766879654843,0.999990825709128,0.9999999999999997,std,0.9999999999999997,,,,
S5_MLP_seed1,y,1,A4,576.3749406599472,0.9989104847011336,0.9931629252258094,std',3.4027510689004693e-05,0.006803047263501466,0.9931629252258094,,
S5_MLP_seed1,y,2,F20,823.7404198509377,0.9999953364869336,0.9999999999999998,5a,,,,0.9999999999999998,
S5_MLP_seed1,y,3,A4,526.4967074739479,0.995930310660319,0.977233836919179,std',0.0010917861179082977,0.021674376962912648,0.977233836919179,,
S5_MLP_seed1,y,4,A4,1228.4917200249886,0.999841421757447,0.9999847928845343,std,0.9999847928845343,2.0891600820911434e-06,1.3117955383255094e-05,,
S5_MLP_seed1,y,5,A4,415.1017158452297,0.99587121592679,0.9759657229659717,std',0.00019014532319849029,0.023844131710829827,0.9759657229659717,,
S5_MLP_seed1,y,6,A4,365.2108386882942,0.9994431951771816,0.9943751432821186,std',8.86756187738658e-05,0.005536181099107271,0.9943751432821186,,
